,pickups,returns,imbalance,total_activity
Bay St / Wellesley St W,2745.0,2114.0,631.0,4859.0
Dundonald St / Church St,1126.0,730.0,396.0,1856.0
Sherbourne St / Wellesley St E,1548.0,1252.0,296.0,2800.0
Charles St W / Balmuto St - SMART,1900.0,1627.0,273.0,3527.0
Isabella St / Church St,1465.0,1199.0,266.0,2664.0
20 Charles St E,1147.0,902.0,245.0,2049.0
Bleecker St / St James Ave,979.0,754.0,225.0,1733.0
Spadina Ave / Harbord St - SMART,2077.0,1864.0,213.0,3941.0
Jarvis St / Isabella St,860.0,656.0,204.0,1516.0
Bloor St W / Manning Ave - SMART,1721.0,1538.0,183.0,3259.0
Ted Rogers Way / Bloor St E,1008.0,834.0,174.0,1842.0
St Joseph St / Bay St - SMART,664.0,492.0,172.0,1156.0
Bay St / Charles St - SMART,568.0,398.0,170.0,966.0
Dalton Rd / Bloor St W,1347.0,1182.0,165.0,2529.0
439 Sherbourne St,1019.0,856.0,163.0,1875.0
Church St / Bloor St E,1331.0,1171.0,160.0,2502.0
Charles St E / Jarvis St - SMART,874.0,718.0,156.0,1592.0
St. George St / Bloor St W,2128.0,1987.0,141.0,4115.0
Spadina Ave / Sussex Ave - SMART,392.0,252.0,140.0,644.0
Church St  / Wood St,2080.0,1942.0,138.0,4022.0
Spadina Ave / Sussex Ave,291.0,154.0,137.0,445.0
College St / Major St,2793.0,2663.0,130.0,5456.0
Spadina Ave / Blue Jays Way,1124.0,1002.0,122.0,2126.0
College Park - Yonge St Entrance,2332.0,2211.0,121.0,4543.0
365 Lippincott St,698.0,580.0,118.0,1278.0
Front St W / Bay St (South Side),1199.0,1082.0,117.0,2281.0
Huron/ Harbord St,698.0,584.0,114.0,1282.0
Davenport Rd / Avenue Rd,821.0,707.0,114.0,1528.0
Church St / Alexander St,1696.0,1584.0,112.0,3280.0
Granby St / Church St - SMART,1536.0,1433.0,103.0,2969.0
Lawton Blvd / Yonge St,368.0,270.0,98.0,638.0
Queen's Park / Bloor St W,1459.0,1361.0,98.0,2820.0
Richmond St E / Jarvis St Green P,561.0,467.0,94.0,1028.0
King St W / Tecumseth St,1659.0,1565.0,94.0,3224.0
Yonge St / Orchard View Blvd,587.0,493.0,94.0,1080.0
Parliament St / Gerrard St,294.0,206.0,88.0,500.0
Queen's Park Cres E / Grosvenor St - SMART,716.0,629.0,87.0,1345.0
Christie St / Benson Ave (Wychwood Barns),357.0,274.0,83.0,631.0
Sherbourne St / Isabella St,1491.0,1409.0,82.0,2900.0
Orde St / McCaul St,850.0,769.0,81.0,1619.0
St Clair Ave W / Bathurst St.,156.0,78.0,78.0,234.0
Simcoe St / Dundas St W,667.0,590.0,77.0,1257.0
Bay St / Bloor St W (West Side),800.0,724.0,76.0,1524.0
11 Spadina Rd,449.0,373.0,76.0,822.0
Wellington St W / Stafford St,1182.0,1106.0,76.0,2288.0
Gould St / Mutual St,1677.0,1602.0,75.0,3279.0
Madison Ave / Bloor St W,704.0,630.0,74.0,1334.0
Emerson Ave / Bloor St W,498.0,425.0,73.0,923.0
200 Bloor St. E.,196.0,124.0,72.0,320.0
Navy Wharf Ct. / Bremner Blvd.,538.0,466.0,72.0,1004.0
Spadina Ave / Adelaide St W,2098.0,2028.0,70.0,4126.0
King St W / Brant St,1793.0,1723.0,70.0,3516.0
College Park- Gerrard Entrance,966.0,896.0,70.0,1862.0
Mill St / Parliament St,1585.0,1516.0,69.0,3101.0
Russell Hill Rd / St Clair Ave W,130.0,62.0,68.0,192.0
161 Bleecker St (South of Wellesley),498.0,431.0,67.0,929.0
Ulster St / Bathurst St,653.0,586.0,67.0,1239.0
Danforth Ave / Lamb Ave,415.0,348.0,67.0,763.0
The Royal Ontario Museum (Bloor St Entrance),766.0,700.0,66.0,1466.0
Bathurst Subway Station,738.0,673.0,65.0,1411.0
Queen St W / Spadina Ave,1082.0,1017.0,65.0,2099.0
Yonge St / St. Clair Ave,414.0,349.0,65.0,763.0
Lower Jarvis St / Queens Quay E,1153.0,1088.0,65.0,2241.0
Woodbine Subway Station,243.0,178.0,65.0,421.0
Toronto Inukshuk Park,1290.0,1227.0,63.0,2517.0
Yonge St / St Clair Ave,296.0,234.0,62.0,530.0
Bayview Ave / Lawren Harris Square,872.0,810.0,62.0,1682.0
Davenport Rd / Christie St,330.0,268.0,62.0,598.0
Davisville Ave / Pailton Cres,165.0,104.0,61.0,269.0
Davenport Rd / Bathurst St,241.0,180.0,61.0,421.0
Willcocks St / St. George St,898.0,837.0,61.0,1735.0
King / Cowan Ave - SMART,250.0,190.0,60.0,440.0
Palmerston Ave / Dundas St W,1528.0,1469.0,59.0,2997.0
Front St W / Bay St (North Side),894.0,835.0,59.0,1729.0
Havelock St / Dufferin Park,329.0,271.0,58.0,600.0
Temperance St / Bay St,693.0,637.0,56.0,1330.0
Martin Goodman Trail (Marilyn Bell Park),832.0,777.0,55.0,1609.0
University Ave / King St W - SMART,989.0,934.0,55.0,1923.0
Hillsdale Ave W / Yonge St,298.0,243.0,55.0,541.0
Carlaw Ave / Danforth Ave,417.0,363.0,54.0,780.0
Wellesley Station Green P,1840.0,1786.0,54.0,3626.0
Vaughan Rd /Wychwood Ave,177.0,124.0,53.0,301.0
Robert St / Bloor St W - SMART,1646.0,1593.0,53.0,3239.0
Rusholme Park Cres / College St,821.0,768.0,53.0,1589.0
Howard St / Sherbourne St,960.0,907.0,53.0,1867.0
424 Wellington St W,188.0,136.0,52.0,324.0
College St / Crawford St,1486.0,1434.0,52.0,2920.0
Yonge St / Bloor St,1901.0,1849.0,52.0,3750.0
Yonge St / Wood St,1139.0,1087.0,52.0,2226.0
Lynn Williams St / East Liberty St - SMART,612.0,560.0,52.0,1172.0
Bay St / College St (East Side),3277.0,3225.0,52.0,6502.0
Wychwood Ave / Benson Ave - SMART,195.0,144.0,51.0,339.0
Central Tech  (Harbord St),1016.0,965.0,51.0,1981.0
Yonge St / Dundonald St - SMART,564.0,514.0,50.0,1078.0
Merton St / Mount Pleasant Rd,179.0,130.0,49.0,309.0
Davenport Rd / Bedford Rd,632.0,583.0,49.0,1215.0
640 Bloor Street E,180.0,132.0,48.0,312.0
Yonge St / Aylmer Ave,371.0,323.0,48.0,694.0
Jarvis St / Dundas St E,1939.0,1891.0,48.0,3830.0
Galbraith Rd / King's College Rd,550.0,502.0,48.0,1052.0
Summerhill Station,250.0,202.0,48.0,452.0
Euclid Ave / Herrick St - SMART,437.0,390.0,47.0,827.0
University Ave / College St (West),478.0,432.0,46.0,910.0
35 Erindale Ave,168.0,122.0,46.0,290.0
Alvin Ave / St Clair Ave E,100.0,54.0,46.0,154.0
Hocken Ave./Vaughan Rd.,90.0,44.0,46.0,134.0
College St / McCaul St,128.0,82.0,46.0,210.0
Yonge St / Davisville Ave,257.0,212.0,45.0,469.0
Augusta Ave / Dundas St W,1248.0,1204.0,44.0,2452.0
Bathurst St / Lennox St,876.0,832.0,44.0,1708.0
Bloor St W / Balmuto St,848.0,804.0,44.0,1652.0
Frobisher Ave / Lascelles Blvd,265.0,221.0,44.0,486.0
541 Huron St - SMART,673.0,630.0,43.0,1303.0
Royal York Rd / Lake Shore Blvd W,235.0,192.0,43.0,427.0
Spadina Rd / Austin Terrace,265.0,222.0,43.0,487.0
Davenport Rd / McAlpine St - SMART,283.0,240.0,43.0,523.0
Trent Ave / Danforth Ave,122.0,80.0,42.0,202.0
Dundas St E / River St,802.0,760.0,42.0,1562.0
Church St / Dundas St E - SMART,762.0,720.0,42.0,1482.0
Essex St / Christie St - SMART,176.0,134.0,42.0,310.0
Bartlett Parkette,631.0,590.0,41.0,1221.0
Dundas St E / George St,794.0,753.0,41.0,1547.0
Pacific Ave / Glenlake Ave,354.0,313.0,41.0,667.0
High Park Amphitheatre,372.0,331.0,41.0,703.0
324 Cherry St,464.0,424.0,40.0,888.0
York St / Lakeshore St W - South,586.0,546.0,40.0,1132.0
Ursula Franklin St / St. George St - SMART,671.0,631.0,40.0,1302.0
Beverley St / College St,1105.0,1066.0,39.0,2171.0
Humberside Grounds - SMART,95.0,56.0,39.0,151.0
Bloor St W / High Park Ave (High Park),369.0,330.0,39.0,699.0
Jane St / Bloor St W (Jane Subway Station),193.0,155.0,38.0,348.0
Keele St / Annette St,246.0,208.0,38.0,454.0
Vanauley St / Queen St W - SMART,1174.0,1136.0,38.0,2310.0
University Ave / Queen St W,844.0,806.0,38.0,1650.0
Exhibition GO (Atlantic Ave),642.0,605.0,37.0,1247.0
Jameson Ave / Queen St W,390.0,353.0,37.0,743.0
Seaton St / Dundas St E - SMART,494.0,457.0,37.0,951.0
The Queensway / High St,136.0,100.0,36.0,236.0
75 Holly St,218.0,182.0,36.0,400.0
Russell St / Huron St - SMART,294.0,258.0,36.0,552.0
909 Yonge St,236.0,200.0,36.0,436.0
697 Lansdowne Ave,119.0,83.0,36.0,202.0
1612 Danforth Ave,59.0,24.0,35.0,83.0
King St W / Charlotte St,1388.0,1353.0,35.0,2741.0
Dundas St E / Pembroke St,137.0,102.0,35.0,239.0
Spadina Ave / Willcocks St,896.0,861.0,35.0,1757.0
15 Price St,65.0,30.0,35.0,95.0
Exhibition GO Station,392.0,357.0,35.0,749.0
Braemar Ave / Eglinton Ave W,118.0,84.0,34.0,202.0
Bloor St W / Christie St,1281.0,1247.0,34.0,2528.0
265 Armadale Ave,226.0,192.0,34.0,418.0
Ward Ave / Wallace Ave,182.0,148.0,34.0,330.0
Front St W / Blue Jays Way,1432.0,1399.0,33.0,2831.0
College St / Borden St,1297.0,1264.0,33.0,2561.0
Broadview Ave / Danforth Ave,284.0,252.0,32.0,536.0
Dundas St W / St Helen Ave - SMART,138.0,106.0,32.0,244.0
Bay St / Scollard St,467.0,435.0,32.0,902.0
80 Clinton St (North of College),416.0,384.0,32.0,800.0
St. Clair Ave W / Bathurst St,186.0,155.0,31.0,341.0
High Park Subway Station,301.0,270.0,31.0,571.0
Jarvis St / Carlton St,1348.0,1317.0,31.0,2665.0
200 Bloor St E,247.0,216.0,31.0,463.0
Bloor St W / Brock Ave,461.0,430.0,31.0,891.0
Lansdowne Ave / Whytock Ave,208.0,178.0,30.0,386.0
Kingston Rd / Beech Ave,161.0,131.0,30.0,292.0
Ossington Ave / Harrison St,696.0,666.0,30.0,1362.0
1303 Yonge St - SMART,359.0,329.0,30.0,688.0
Twelfth St / Thirteenth St,85.0,55.0,30.0,140.0
Bay St / Bloor St W (East Side),1362.0,1332.0,30.0,2694.0
Walnut Ave / Queen St W,1158.0,1128.0,30.0,2286.0
Howard St / Rose Ave,444.0,415.0,29.0,859.0
Bloor St W / Pacific Ave,316.0,287.0,29.0,603.0
St. Joseph St / Bay St - SMART,621.0,592.0,29.0,1213.0
Joe Shuster Way / King St W,302.0,273.0,29.0,575.0
Sussex Ave / St George St,374.0,345.0,29.0,719.0
Dovercourt Rd / Harrison St (Green P) - SMART,138.0,110.0,28.0,248.0
King St E / Church St,741.0,713.0,28.0,1454.0
Noble St / Queen St W,440.0,412.0,28.0,852.0
Yonge St / Montgomery Ave - SMART,152.0,124.0,28.0,276.0
Pretoria Av / Broadview Av,142.0,114.0,28.0,256.0
101 Cedarvale Ave,137.0,110.0,27.0,247.0
Yonge St / Merton St,47.0,20.0,27.0,67.0
Sumach St  / Queen St E,836.0,809.0,27.0,1645.0
Superior Ave / Lake Shore Blvd W,216.0,189.0,27.0,405.0
Portland St / Queen St W,1111.0,1084.0,27.0,2195.0
Bloor St W / Shaw St - SMART,857.0,831.0,26.0,1688.0
Moore Park,136.0,110.0,26.0,246.0
Yonge St / Dundonald St,314.0,288.0,26.0,602.0
Coxwell Ave /  Lake Shore Blvd E,186.0,160.0,26.0,346.0
Via Italia / Mackay Ave,92.0,66.0,26.0,158.0
Amelia St. / Sumach St.,194.0,168.0,26.0,362.0
Glebe Rd W / Yonge St,160.0,134.0,26.0,294.0
Spadina Rd / St.Clair Ave West,78.0,52.0,26.0,130.0
Taddle Creek Park,756.0,731.0,25.0,1487.0
High Park - West Rd,365.0,340.0,25.0,705.0
Broadview Ave / Westwood Ave,298.0,273.0,25.0,571.0
Rosehill Ave / Avoca Ave - SMART,132.0,107.0,25.0,239.0
Wilket Creek Park,143.0,118.0,25.0,261.0
Elwood Blvd / Avenue Rd,57.0,32.0,25.0,89.0
Fleming Cres / Bayview Ave,202.0,177.0,25.0,379.0
Gerrard St E / Malvern Ave - SMART,69.0,45.0,24.0,114.0
Roncesvalles Ave / Fermanagh Ave,363.0,339.0,24.0,702.0
Danforth Ave / Dewhurst Blvd,272.0,248.0,24.0,520.0
Hocken Ave / Vaughan Rd,103.0,79.0,24.0,182.0
St Clair Ave W / Winona Ave,100.0,76.0,24.0,176.0
St. George St / Willcocks St,819.0,796.0,23.0,1615.0
Cosburn Ave / Donlands Ave,208.0,185.0,23.0,393.0
Coronation Park (Martin Goodman Trail),854.0,831.0,23.0,1685.0
Randolph Ave / Perth Ave,199.0,176.0,23.0,375.0
800 Fleet St (South),390.0,367.0,23.0,757.0
Baldwin Ave / Spadina Ave - SMART,682.0,660.0,22.0,1342.0
Beaty Ave / Queen St W,547.0,525.0,22.0,1072.0
519 Church St - SMART,250.0,228.0,22.0,478.0
Wellesley St / Queen's Park Cres,378.0,356.0,22.0,734.0
Strachan Ave / East Liberty St - SMART,1057.0,1035.0,22.0,2092.0
The Pond Rd / Sentinel Rd,190.0,168.0,22.0,358.0
East Liberty St / Western Battery Rd,901.0,879.0,22.0,1780.0
Woodbine Subway Green P SMART,36.0,14.0,22.0,50.0
Queen St E / George St (Moss Park),358.0,336.0,22.0,694.0
St. Clair Ave W / Robina Ave,82.0,61.0,21.0,143.0
Simcoe St / Wellington St W South,609.0,588.0,21.0,1197.0
Amelia St / Sumach St,194.0,173.0,21.0,367.0
Wells Hill Ave / St. Clair Ave W,122.0,101.0,21.0,223.0
Lisgar St / Dundas St W - SMART,466.0,445.0,21.0,911.0
Oak St / Sumach St,722.0,701.0,21.0,1423.0
Marlborough Ave / Yonge St,60.0,40.0,20.0,100.0
Portland St / Wellington St W,501.0,481.0,20.0,982.0
High Park Outdoor Pool,179.0,159.0,20.0,338.0
Roehampton Ave / Mount Pleasant Rd,209.0,189.0,20.0,398.0
Bloor St W / Riverside Ave,46.0,26.0,20.0,72.0
Symington Ave / Davenport Rd,134.0,114.0,20.0,248.0
Church St / The Esplanade,577.0,557.0,20.0,1134.0
Gould St / Yonge St (Ryerson University),604.0,584.0,20.0,1188.0
Bay St / St. Joseph St,1257.0,1237.0,20.0,2494.0
Yonge St / Dundas Sq,1845.0,1826.0,19.0,3671.0
Fort York Blvd / Bathurst St - SMART,591.0,572.0,19.0,1163.0
George St / King St E,728.0,709.0,19.0,1437.0
Concord Ave / Bloor St W,742.0,723.0,19.0,1465.0
Baldwin St / Henry St,1224.0,1206.0,18.0,2430.0
Donlands Station,110.0,92.0,18.0,202.0
Jimmie Simpson Park (Queen St E),756.0,738.0,18.0,1494.0
Lake Shore Blvd W / Thirty Ninth Street,75.0,57.0,18.0,132.0
St Clair Ave W / Gunns Rd,62.0,44.0,18.0,106.0
135 Queens Wharf  - SMART,152.0,134.0,18.0,286.0
1525 Dundas St,268.0,250.0,18.0,518.0
Wallace Ave / Symington Ave - SMART,263.0,245.0,18.0,508.0
Oriole Pkwy / Kilbarry Rd,120.0,102.0,18.0,222.0
Merton St / Al Green Ln,30.0,12.0,18.0,42.0
King St W / University Ave,391.0,373.0,18.0,764.0
190 Queens Quay E,795.0,778.0,17.0,1573.0
33 Queen St E,244.0,227.0,17.0,471.0
Frederick St / The Esplanade,423.0,406.0,17.0,829.0
Alvin Ave / St. Clair Ave E,114.0,97.0,17.0,211.0
St Clarens Ave / College St,360.0,343.0,17.0,703.0
91 Via Italia,275.0,258.0,17.0,533.0
Westmoreland Ave / Fernbank Ave,453.0,436.0,17.0,889.0
Bloor St E / Parliament St,395.0,378.0,17.0,773.0
Howard Park Ave / Parkside Dr,87.0,70.0,17.0,157.0
Balliol St / Yonge St - SMART,152.0,135.0,17.0,287.0
Gerrard St E / Nasmith Ave,91.0,74.0,17.0,165.0
Wallace Ave / Pauline Ave,251.0,234.0,17.0,485.0
Runnymede Rd / Annette St,181.0,164.0,17.0,345.0
Wolsley St / Palmerston Ave - SMART,174.0,158.0,16.0,332.0
Yonge St / Alexander St - SMART,1673.0,1657.0,16.0,3330.0
Front St E / Cooperage St,250.0,234.0,16.0,484.0
Albany Ave / Bloor St W,633.0,617.0,16.0,1250.0
Durie St / Dundas St W,136.0,120.0,16.0,256.0
Sentinel Rd / Finch Hydro Corridor,76.0,60.0,16.0,136.0
Yonge St / Woburn Ave - SMART,45.0,29.0,16.0,74.0
King St W / Joe Shuster Way,1117.0,1101.0,16.0,2218.0
Lisgar St / Queen St W - SMART,538.0,523.0,15.0,1061.0
Symington Ave / Dupont St,398.0,383.0,15.0,781.0
Glen Edyth Dr / Davenport Rd,315.0,301.0,14.0,616.0
Summerhill Ave / Maclennan Ave,174.0,160.0,14.0,334.0
Amroth Ave / Danforth Ave,195.0,181.0,14.0,376.0
Dundas St W / Watkinson Ave,70.0,56.0,14.0,126.0
144 Harrison St,418.0,404.0,14.0,822.0
1525 Dundas St W,405.0,391.0,14.0,796.0
Yonge St / Macpherson Ave,73.0,59.0,14.0,132.0
St Clair W Subway - Heath Entrance,60.0,46.0,14.0,106.0
St. George St / Hoskin Ave,1388.0,1374.0,14.0,2762.0
Cariboo St / Rail Path,128.0,114.0,14.0,242.0
Rushton Rd / St Clair Ave W,70.0,56.0,14.0,126.0
Queen St W  /  Fuller Ave - SMART,369.0,355.0,14.0,724.0
Blythwood Rd / Yonge St - SMART,108.0,94.0,14.0,202.0
Glendonwynne Ave / Bloor St W,120.0,106.0,14.0,226.0
Langford Ave / Danforth Ave - SMART,350.0,337.0,13.0,687.0
McGill St / Church St,1482.0,1469.0,13.0,2951.0
Joseph J Piccininni Community Centre,87.0,74.0,13.0,161.0
Thorncliffe Park Dr / Leaside Park Trail,80.0,67.0,13.0,147.0
Donlands Subway Station,175.0,162.0,13.0,337.0
University Ave / College St (East),1375.0,1362.0,13.0,2737.0
St. Clair Ave W / Gunns Rd,85.0,72.0,13.0,157.0
Danforth Ave / Sibley Ave,38.0,26.0,12.0,64.0
Dufferin St / Bloor St,110.0,98.0,12.0,208.0
Lake Shore Blvd W / Bathurst St,252.0,240.0,12.0,492.0
Lascelles Blvd / Eglinton Ave W,198.0,186.0,12.0,384.0
Yonge St / Lawrence Ave,66.0,54.0,12.0,120.0
Wellington St W / Blue Jays Way,610.0,598.0,12.0,1208.0
Dufferin St / Bloor St W,175.0,163.0,12.0,338.0
Sorauren/Geoffrey (Sorauren Park) - SMART,146.0,134.0,12.0,280.0
Lower Jarvis St / The Esplanade,529.0,518.0,11.0,1047.0
Weston Lions Park,54.0,43.0,11.0,97.0
Broadview Subway Station,456.0,445.0,11.0,901.0
Bay St / Charles St W - SMART,675.0,664.0,11.0,1339.0
Tommy Thompson Park (Leslie Street Spit),1493.0,1482.0,11.0,2975.0
Wellesley St W / Queen's Park Cres,495.0,484.0,11.0,979.0
The Well,772.0,761.0,11.0,1533.0
128 Sterling Rd - SMART,250.0,239.0,11.0,489.0
Goodwood Park Crt / Dentonia Park,26.0,15.0,11.0,41.0
Davenport Rd / Lansdowne Ave,226.0,215.0,11.0,441.0
2700 Eglinton Ave W,36.0,25.0,11.0,61.0
Pape Subway Green P,26.0,16.0,10.0,42.0
Dupont St / Emerson Ave SMART,126.0,116.0,10.0,242.0
Charles St / Church St - SMART,112.0,102.0,10.0,214.0
Queen St. E / Rhodes Ave.,114.0,104.0,10.0,218.0
Palmerston Blvd / Herrick St,96.0,86.0,10.0,182.0
14 Arundel Ave,360.0,350.0,10.0,710.0
Dundas St E / Boulton Ave - SMART,472.0,462.0,10.0,934.0
Spadina Rd / St. Clair Ave W,79.0,69.0,10.0,148.0
Berkeley St / Dundas St E - SMART,531.0,521.0,10.0,1052.0
Harbord St / Grace St (Bickford Park),195.0,185.0,10.0,380.0
Queen St W / James St,530.0,520.0,10.0,1050.0
Bloor St W / Huron St,793.0,783.0,10.0,1576.0
Queens Quay E / Freeland St,587.0,577.0,10.0,1164.0
Queen St E / Rushbrooke Ave,431.0,421.0,10.0,852.0
York University (Glendon Campus) - SMART,67.0,58.0,9.0,125.0
60 Broadway Ave,81.0,72.0,9.0,153.0
Strachan Ave / Princes' Blvd,677.0,668.0,9.0,1345.0
Primrose Ave / Davenport Rd,94.0,85.0,9.0,179.0
York St / Queen St W (City Hall),546.0,537.0,9.0,1083.0
Adelaide St W / York St,29.0,20.0,9.0,49.0
Queen St E / Hammersmith Ave,103.0,94.0,9.0,197.0
Barton St / Howland St - SMART,184.0,176.0,8.0,360.0
Sunnybrook Health Centre - L Wing,66.0,58.0,8.0,124.0
Gerrard St E / Main St,76.0,68.0,8.0,144.0
Richmond St W / Bathurst St,674.0,666.0,8.0,1340.0
St. Columba Pl / St. Clair Ave E,39.0,31.0,8.0,70.0
Swansea Community Centre,138.0,130.0,8.0,268.0
Kings Mill Park,90.0,82.0,8.0,172.0
Lynn Williams St / East Liberty St,844.0,836.0,8.0,1680.0
Chorley Park - SMART,214.0,206.0,8.0,420.0
King St W / Wilson Park Blvd,107.0,99.0,8.0,206.0
Widmer St / Adelaide St W (South),42.0,34.0,8.0,76.0
Edward St / Yonge St,1577.0,1569.0,8.0,3146.0
Grenville St / Yonge St,62.0,54.0,8.0,116.0
Hayter St / Laplante Ave,346.0,338.0,8.0,684.0
Rogers Rd / Prospect Cemetery,26.0,18.0,8.0,44.0
Queen St E / Berkeley St,594.0,586.0,8.0,1180.0
Queen St W / Portland St,590.0,582.0,8.0,1172.0
Ontario Place Blvd / Lake Shore Blvd W,522.0,514.0,8.0,1036.0
Oak St / Sackville St,358.0,350.0,8.0,708.0
O'Connor Dr / Curity Ave - SMART,42.0,34.0,8.0,76.0
Cosburn Ave / Durant Ave,63.0,55.0,8.0,118.0
Moss Park,493.0,485.0,8.0,978.0
Rushton Rd / St. Clair Ave W,90.0,82.0,8.0,172.0
Sumach St / Carlton St. (Riverdale Farm),316.0,308.0,8.0,624.0
Rogers Rd / Watt Ave,40.0,32.0,8.0,72.0
Baldwin St / Spadina Ave - SMART,1310.0,1303.0,7.0,2613.0
Arlington Parkette,41.0,34.0,7.0,75.0
Wellesley St E / Jarvis St,341.0,334.0,7.0,675.0
Navy Wharf Crt / Bremner Blvd,617.0,610.0,7.0,1227.0
Parliament St / Aberdeen Ave,709.0,702.0,7.0,1411.0
Lundy Ave / _tienne Br_l_ Park,24.0,17.0,7.0,41.0
Ossington Ave / Bruce St,661.0,654.0,7.0,1315.0
Church St / Shuter St,637.0,630.0,7.0,1267.0
Gerrard St E / Victoria Park Ave - SMART,90.0,83.0,7.0,173.0
Harvie Ave / Rogers Rd,32.0,25.0,7.0,57.0
Davenport Rd / Dovercourt Rd - SMART,70.0,63.0,7.0,133.0
Lumsden Ave / Eastdale Ave,84.0,78.0,6.0,162.0
Macpherson Ave / Spadina Rd,540.0,534.0,6.0,1074.0
Cariboo Ave / Railpath Trail,96.0,90.0,6.0,186.0
Priscilla Ave / Dundas St W,46.0,40.0,6.0,86.0
Keele St / Vine Ave,220.0,214.0,6.0,434.0
D'Arcy St. /McCaul St. SMART,336.0,330.0,6.0,666.0
Bloor St W / Shaw Ave - SMART,512.0,506.0,6.0,1018.0
Bloor GO / UP Station (West Toronto Railpath),148.0,142.0,6.0,290.0
St. Clair Ave W / Avenue Rd,62.0,56.0,6.0,118.0
Danforth Ave / Westlake Ave,192.0,186.0,6.0,378.0
St Clair Ave W / Castleton Ave,70.0,64.0,6.0,134.0
St. Clair West Subway Station - Heath St. W,71.0,65.0,6.0,136.0
Simcoe St / Wellington St South,346.0,340.0,6.0,686.0
Gerrard St E / Ted Reeve Dr,48.0,42.0,6.0,90.0
Wellesley St E / Parliament St,467.0,461.0,6.0,928.0
Wright Ave / Sorauren Ave - SMART,237.0,231.0,6.0,468.0
1 Market St,378.0,372.0,6.0,750.0
York University Station (North),57.0,51.0,6.0,108.0
Queens Park Cres / College St,246.0,241.0,5.0,487.0
Firvalley Ct / Warden Ave,10.0,5.0,5.0,15.0
Niagara St / Portland St,541.0,536.0,5.0,1077.0
Pape Ave / Gamble Ave,237.0,232.0,5.0,469.0
Luttrell Ave / Danforth Ave,53.0,48.0,5.0,101.0
Dan Leckie Way / Fort York Blvd,16.0,11.0,5.0,27.0
Waterfront Trail (Rouge Hill),207.0,202.0,5.0,409.0
Gladstone Ave / Queen St W,376.0,371.0,5.0,747.0
Alameda Ave / Vaughan Rd - SMART,47.0,42.0,5.0,89.0
Yonge St / Golfdale Rd,48.0,43.0,5.0,91.0
Victoria Park Ave / Dawes Rd,38.0,33.0,5.0,71.0
Clover Hill Park - SMART,116.0,111.0,5.0,227.0
Summerhill Subway Station,231.0,227.0,4.0,458.0
