,pickups,returns,imbalance,total_activity
Livingston Rd (Highland Creek Trail),31.0,27.0,4.0,58.0
Spadina Ave / Dundas St W - SMART,480.0,476.0,4.0,956.0
Lansdowne Subway Station,420.0,416.0,4.0,836.0
19 Glendora Ave,56.0,52.0,4.0,108.0
Lower Don River Trail and Taylor Creek Trail,193.0,189.0,4.0,382.0
Downsview Park Blvd / Keele St  - SMART,104.0,100.0,4.0,204.0
Gerrard St E / River St,487.0,483.0,4.0,970.0
University Ave / Elm St,284.0,280.0,4.0,564.0
Fairmount Park,134.0,130.0,4.0,264.0
Mortimer Ave / Carlaw Ave SMART,164.0,160.0,4.0,324.0
Queens Quay E / Lower Sherbourne St,2092.0,2088.0,4.0,4180.0
Teddington Park Ave,62.0,58.0,4.0,120.0
Bathurst St / Dundas St W,1467.0,1463.0,4.0,2930.0
Starspray Ave / Lawrence Ave E,22.0,18.0,4.0,40.0
Eglinton Ave W / Gilbert Ave,20.0,16.0,4.0,36.0
Adelaide St W / Yonge St,468.0,464.0,4.0,932.0
Glenwood Ave / Runnymede Rd,12.0,8.0,4.0,20.0
Grafton Ave / Roncesvalles Ave,11.0,7.0,4.0,18.0
128 Sterling Ave - SMART,160.0,156.0,4.0,316.0
Dentonia Park,75.0,71.0,4.0,146.0
Guildwood GO Station (South),30.0,26.0,4.0,56.0
Wynford Heights Cres / Concorde Pl,23.0,20.0,3.0,43.0
Armel Ct / Albion Rd,19.0,16.0,3.0,35.0
Shaw St / College St,293.0,290.0,3.0,583.0
Simcoe St / Wellington St W (North) 2,17.0,14.0,3.0,31.0
Emmett Ave,8.0,5.0,3.0,13.0
Princes' Blvd / Nunavut Rd,165.0,162.0,3.0,327.0
Eglinton Ave W / Ennerdale Rd,24.0,21.0,3.0,45.0
Erskine Ave / Yonge St SMART,127.0,124.0,3.0,251.0
Strachan Ave / Ordnance St,42.0,39.0,3.0,81.0
Neil McLellan Park,251.0,248.0,3.0,499.0
St. Clair Ave W / Symes Rd,28.0,25.0,3.0,53.0
Queen St E / Rhodes Ave,168.0,165.0,3.0,333.0
Albany Ave / Dupont St,123.0,120.0,3.0,243.0
Windsor St / Newcastle St,174.0,171.0,3.0,345.0
Gunns Rd / Lavender Creek Trail,16.0,13.0,3.0,29.0
Dundas St W / Crawford St,2110.0,2107.0,3.0,4217.0
Fulton Ave / Pape Ave,161.0,158.0,3.0,319.0
519 Church St,9.0,6.0,3.0,15.0
Lonsdale Rd / Spadina Rd,162.0,159.0,3.0,321.0
Kingston Rd / Warden Ave,38.0,35.0,3.0,73.0
Lake Shore Blvd W / Legion Rd,138.0,135.0,3.0,273.0
Lansdowne Ave / Seaforth Ave,50.0,47.0,3.0,97.0
St. Clair Ave W / Caledonia Rd,35.0,32.0,3.0,67.0
Trethewey Dr / Black Creek Dr,7.0,4.0,3.0,11.0
Avenue Rd / Oxton Ave,15.0,12.0,3.0,27.0
Eglinton Ave W / Oakwood Ave,28.0,26.0,2.0,54.0
Beltline Trail / Chaplin Cres,93.0,91.0,2.0,184.0
Tecumseth St / Tecumseth Pl,272.0,270.0,2.0,542.0
Osler Playground (Argyle St),8.0,6.0,2.0,14.0
3220 Bloor St W,52.0,50.0,2.0,102.0
Eastgate Cres / Pharmacy Ave,2.0,0.0,2.0,2.0
Park Lawn Rd / Berry Rd,25.0,23.0,2.0,48.0
Brick Works,448.0,446.0,2.0,894.0
Weston Rd / St Clair Ave W - SMART,64.0,62.0,2.0,126.0
803 Richmond St W,192.0,190.0,2.0,382.0
Wendover Rd / Bloor St W (Green P),35.0,33.0,2.0,68.0
Lundy Ave / Etienne Brule Park,50.0,48.0,2.0,98.0
The Pond Rd / Ian Macdonald Blvd,46.0,44.0,2.0,90.0
McRae Dr / Laird Dr - SMART,58.0,56.0,2.0,114.0
Trethewey Dr / Jane St,8.0,6.0,2.0,14.0
Wells Hill Ave / St Clair Ave W,70.0,68.0,2.0,138.0
Ling Rd / Morningside Ave,18.0,16.0,2.0,34.0
Lillian St / Soudan Ave - SMART,48.0,46.0,2.0,94.0
Victoria Park Ave / Kingston Rd,64.0,62.0,2.0,126.0
Rochefort Dr / Don Mills Rd,2.0,0.0,2.0,2.0
St Clarens Ave / Shirley Ave,58.0,56.0,2.0,114.0
St Columba Pl / St Clair Ave E,18.0,16.0,2.0,34.0
800 Fleet St (North),478.0,476.0,2.0,954.0
Danforth Ave / Warden Ave,20.0,18.0,2.0,38.0
Sheppard Ave E / Brian Dr,9.0,7.0,2.0,16.0
Jane St / Finch Ave W,7.0,5.0,2.0,12.0
Highview Ave / Kennedy Rd,21.0,19.0,2.0,40.0
Bloor St W / Kingsmill Rd,20.0,18.0,2.0,38.0
Sharpe St / Park St (Sandown Park),11.0,9.0,2.0,20.0
Sheppard Ave W / Chesswood Dr,16.0,14.0,2.0,30.0
75 Tandridge Cres,6.0,4.0,2.0,10.0
60 Carl Hall Rd - SMART,37.0,35.0,2.0,72.0
552 Birchmount Rd,6.0,4.0,2.0,10.0
Yonge St / North York Blvd,39.0,37.0,2.0,76.0
Willingdon Blvd / Bloor St W (Green P),69.0,68.0,1.0,137.0
1 Shortt St,40.0,39.0,1.0,79.0
Beltline Trail / Yonge St,114.0,113.0,1.0,227.0
Eglinton Ave W / Prospect Cemetery,14.0,13.0,1.0,27.0
Greenwood Ave / Sammon Ave,79.0,78.0,1.0,157.0
Sheppard Ave E / Willowdale Ave,1.0,0.0,1.0,1.0
21 Pleasant Blvd (2),70.0,69.0,1.0,139.0
Eglinton Ave E / Victoria Park Ave,13.0,12.0,1.0,25.0
Danforth Rd / St Clair Ave E,2.0,1.0,1.0,3.0
Danforth Rd / Birchmount Rd,6.0,5.0,1.0,11.0
Queen St W / Shaw St,594.0,593.0,1.0,1187.0
Bay Mills Blvd / Birchmount Ave,8.0,7.0,1.0,15.0
Sheppard Ave E / Leslie St,12.0,11.0,1.0,23.0
Shaw St / Essex St - SMART,614.0,613.0,1.0,1227.0
Hillsdale Ave E / Mount Pleasant Rd,59.0,58.0,1.0,117.0
Don Mills Rd / Barber Greene Rd,1.0,0.0,1.0,1.0
Grenoble Dr / Vendome Pl,13.0,12.0,1.0,25.0
Hayter St / La Plante Ave,555.0,554.0,1.0,1109.0
Warden Ave / The Meadoway,8.0,7.0,1.0,15.0
Caledonia Rd / Lotherton Pathway,19.0,18.0,1.0,37.0
Simcoe St / Wellington St W (North) 3,2.0,1.0,1.0,3.0
Sentinel Rd / Sheppard Ave W,6.0,5.0,1.0,11.0
Bloor St W / Dundas St W (2),56.0,55.0,1.0,111.0
Tangiers Rd / Finch Ave W,7.0,6.0,1.0,13.0
Empress Ave / Yonge St,33.0,32.0,1.0,65.0
Ellesmere Rd / Markham Rd,10.0,9.0,1.0,19.0
Royal York Rd / Mimico Ave,88.0,87.0,1.0,175.0
Scarborough GO Station,54.0,53.0,1.0,107.0
Cruickshank Park,17.0,16.0,1.0,33.0
St. Clair Ave W / Osler St,150.0,149.0,1.0,299.0
St. Clair Ave W / Poplar Plains Rd,4.0,3.0,1.0,7.0
Kingston Rd / Glen Everest Rd,38.0,37.0,1.0,75.0
Concord Ave / Bloor St W (South),100.0,99.0,1.0,199.0
Corvette Ave / Kennedy Rd,1.0,0.0,1.0,1.0
Niagara St / Tecumseth St,587.0,586.0,1.0,1173.0
Ranee Ave / Flemington Rd (North),3.0,2.0,1.0,5.0
Munition St / Commissioners St,4.0,3.0,1.0,7.0
Keele St / Catford Rd,26.0,25.0,1.0,51.0
Keele St / Dovehouse Ave - SMART,25.0,24.0,1.0,49.0
Humber Bay Shores Park East,1015.0,1014.0,1.0,2029.0
Kingston Rd / Scarborough Golf Club Rd,3.0,2.0,1.0,5.0
Ionview Rd / Eglinton Ave E,12.0,11.0,1.0,23.0
Bayview Ave / Finch Recreational Trail,20.0,19.0,1.0,39.0
St. Clair Ave W / Winona Dr,102.0,101.0,1.0,203.0
University Ave / Gerrard St W - SMART(South),190.0,189.0,1.0,379.0
Tiago Ave / Westview Blvd,20.0,19.0,1.0,39.0
Biidaasige Park (11 Munition St),3.0,2.0,1.0,5.0
Markham Rd / The Meadoway,1.0,0.0,1.0,1.0
9 Willingdon Blvd,2.0,1.0,1.0,3.0
E.T Seton Park - South,26.0,25.0,1.0,51.0
Logan Ave / Gerrard St E,438.0,437.0,1.0,875.0
Mabelle Park,25.0,24.0,1.0,49.0
Lindylou Rd / Lanyard Rd,5.0,4.0,1.0,9.0
Leslie Subway Station,17.0,16.0,1.0,33.0
Sheppard Ave E / Willowdale Ave ,13.0,13.0,0.0,26.0
Sheppard Ave W / Magellan Dr,2.0,2.0,0.0,4.0
Eglinton Ave W / Venn Cres,20.0,20.0,0.0,40.0
Pretoria Ave / Broadview Ave,188.0,188.0,0.0,376.0
Parkway Forest Dr / Forest Manor Rd (North),14.0,14.0,0.0,28.0
Hanlan's Point Ferry Dock,761.0,761.0,0.0,1522.0
Brimley Rd / Brimorton Dr,1.0,1.0,0.0,2.0
Pharmacy Ave / Eglinton Ave E ,24.0,24.0,0.0,48.0
Brockley Dr / Lawrence Ave E,5.0,5.0,0.0,10.0
Brooklawn Ave / Kingston Rd,26.0,26.0,0.0,52.0
Grenville St / Yonge St ,208.0,208.0,0.0,416.0
Hanlan's Point Beach,586.0,586.0,0.0,1172.0
15 Price St ,159.0,159.0,0.0,318.0
Aurora Ct / Bridletowne Cir,2.0,2.0,0.0,4.0
Hawksbury Dr / Sheppard Ave E ,30.0,30.0,0.0,60.0
16 Riverview Gardens ,27.0,27.0,0.0,54.0
Warden Ave / Huntingwood Dr,10.0,10.0,0.0,20.0
Eglinton Ave W / Henning Ave SMART,91.0,91.0,0.0,182.0
Humber College (Lakeshore Campus),74.0,74.0,0.0,148.0
Don Mills Rd / Goodview Rd,6.0,6.0,0.0,12.0
Humber River Hospital,2.0,2.0,0.0,4.0
Humber College Blvd / Arboretum Blvd,2.0,2.0,0.0,4.0
Scarlett Rd / Old Scarlett Rd ,13.0,13.0,0.0,26.0
Silver Springs Blvd / Birchmount Rd,4.0,4.0,0.0,8.0
Scrivener Sq / Yonge St,74.0,74.0,0.0,148.0
1612 Danforth Ave ,72.0,72.0,0.0,144.0
Glen Long Community Centre,12.0,12.0,0.0,24.0
Grantbrook St / Finch Hydro Corridor Trail,13.0,13.0,0.0,26.0
Grenoble Dr / Gateway Blvd,47.0,47.0,0.0,94.0
Dulverton Rd / Birchmount Rd,1.0,1.0,0.0,2.0
Gordonridge Pl / Danforth Rd,12.0,12.0,0.0,24.0
Duncan Mill Rd / Valleybrook Dr,11.0,11.0,0.0,22.0
Parkcrest Dr / Kingston Rd,11.0,11.0,0.0,22.0
Gerrard St E / Nasmith Ave ,136.0,136.0,0.0,272.0
2201 Dundas St W,53.0,53.0,0.0,106.0
697 Lansdowne Ave ,244.0,244.0,0.0,488.0
 Grafton Ave / Roncesvalles Ave,1.0,1.0,0.0,2.0
Willowdale Ave / Bishop Ave ,37.0,37.0,0.0,74.0
Wilmington Ave / Kennard Ave,7.0,7.0,0.0,14.0
York St / Wellington St W (1) ,189.0,189.0,0.0,378.0
Yonge St / Merton St ,73.0,73.0,0.0,146.0
 George St S / The Esplanade,18.0,18.0,0.0,36.0
Prudential Dr / Midland Ave,1.0,1.0,0.0,2.0
Brimley Rd / E Highland Creek Trail,1.0,1.0,0.0,2.0
Benshire Dr / The Meadoway,8.0,8.0,0.0,16.0
Stansbury Cr / Midland Ave,2.0,2.0,0.0,4.0
Parkway Forest Dr / Forest Manor Rd (South),10.0,10.0,0.0,20.0
Brimley Rd / Lawrence Ave E ,23.0,23.0,0.0,46.0
21 Pleasant Blvd (1),30.0,30.0,0.0,60.0
Yonge St / Sheppard Ave E,59.0,59.0,0.0,118.0
Finch Subway Station ,68.0,68.0,0.0,136.0
Centre Island,871.0,871.0,0.0,1742.0
Bathurst St / Sheppard Ave W,12.0,12.0,0.0,24.0
Shaughnessy Blvd / Sheppard Ave E,7.0,7.0,0.0,14.0
Centre Island Ferry Dock,2457.0,2457.0,0.0,4914.0
Jane St / Weston Rd,12.0,12.0,0.0,24.0
Jane St / Lawrence Ave W,8.0,8.0,0.0,16.0
Islington Ave / Finch Ave W,15.0,15.0,0.0,30.0
Briar Hill Ave / Yonge St - SMART,106.0,106.0,0.0,212.0
Brahms Ave / Finch Ave E,15.0,15.0,0.0,30.0
Dundas St W / Roncesvalles Ave Green P -SMART,78.0,78.0,0.0,156.0
Dundas St W / Roncesvalles Green P - SMART,82.0,82.0,0.0,164.0
Galloway Rd / Kingston Rd ,1.0,1.0,0.0,2.0
Queens Park Cres / College St ,400.0,400.0,0.0,800.0
Bridlewood Park,1.0,1.0,0.0,2.0
Bridgman Ave / Kendal Ave,186.0,186.0,0.0,372.0
Danforth Rd / Birchmount Rd ,6.0,6.0,0.0,12.0
Dufferin St / Finch Corridor Trail,15.0,15.0,0.0,30.0
Dufferin St / Finch Hydro Recreational Trail,34.0,34.0,0.0,68.0
Danforth Ave / Danforth Rd,23.0,23.0,0.0,46.0
Danforth Rd / Savarin St,4.0,4.0,0.0,8.0
Dubray Ave / Wilson Ave,5.0,5.0,0.0,10.0
Gibraltar Point Beach,431.0,431.0,0.0,862.0
Brimley Rd / McCowan District Park,12.0,12.0,0.0,24.0
Pearldale Ave / Finch Ave W,2.0,2.0,0.0,4.0
Pharmacy Ave / Eglinton Ave E,2.0,2.0,0.0,4.0
Huntingwood Dr / Midland Ave,1.0,1.0,0.0,2.0
Humber River Hospital ,11.0,11.0,0.0,22.0
Judson St / Royal York Rd,106.0,106.0,0.0,212.0
Kennedy Rd/Ranstone Gdns (Jack Goodlad Park),7.0,7.0,0.0,14.0
Kennedy Rd / Finch Recreational Trail,1.0,1.0,0.0,2.0
Howard Park Ave / Dundas St W - SMART,341.0,341.0,0.0,682.0
Valparaiso Ave / Lawrence Ave E,1.0,1.0,0.0,2.0
Vaughan Rd / Oakwood Ave,97.0,97.0,0.0,194.0
Ramsden Park,196.0,196.0,0.0,392.0
Ridge Rd / Wilson Ave ,1.0,1.0,0.0,2.0
Niagara St / Queen St W ,241.0,241.0,0.0,482.0
Old Cummer GO Station,8.0,8.0,0.0,16.0
Martin Grove Rd / Lexington Ave,1.0,1.0,0.0,2.0
O'Connor Dr / Curity Ave,24.0,24.0,0.0,48.0
Exbury Rd / Jane St,3.0,3.0,0.0,6.0
Fairglen Cres / Weston Rd,10.0,10.0,0.0,20.0
Village Green Square,8.0,8.0,0.0,16.0
Knob Hill Park,1.0,1.0,0.0,2.0
Rogers Stadium,9.0,9.0,0.0,18.0
Victoria Park Ave / Patrick Blvd ,2.0,2.0,0.0,4.0
Ancaster Rd / Spalding Rd,2.0,2.0,0.0,4.0
Ward's Island Ferry Dock,1011.0,1011.0,0.0,2022.0
Kingston Rd / Markham Rd,3.0,3.0,0.0,6.0
Ruddington Dr / Finch Recreational Trail,9.0,9.0,0.0,18.0
Rockcliffe Blvd / Alliance Ave,6.0,6.0,0.0,12.0
Scarborough Soccer Centre,14.0,14.0,0.0,28.0
Cedar Dr / Eglinton Ave E,4.0,4.0,0.0,8.0
Joe Shuster Way / King St W ,336.0,336.0,0.0,672.0
Finch Ave W / Bathurst St,12.0,12.0,0.0,24.0
Finch Subway Station,18.0,18.0,0.0,36.0
Fenwood Ht / Kingston Rd,14.0,14.0,0.0,28.0
Finch Ave E / Upper Don Recreational Trail,1.0,1.0,0.0,2.0
Finch Ave E / Upper Don Recreational Trail ,13.0,13.0,0.0,26.0
Fairview Mall Dr / Fairview Mall Dr E,15.0,15.0,0.0,30.0
Keele St / Lloyd Ave,46.0,46.0,0.0,92.0
Eastgate Cres / Pharmacy Ave ,2.0,2.0,0.0,4.0
Finch Ave W / Wilmington Ave,8.0,8.0,0.0,16.0
Finch Ave W / Weston Rd,2.0,2.0,0.0,4.0
University Ave / Pearl St ,191.0,191.0,0.0,382.0
College St / Henry St ,313.0,313.0,0.0,626.0
McCowan Rd / Trudelle St,6.0,6.0,0.0,12.0
Lansdowne Ave / Seaforth Ave ,98.0,98.0,0.0,196.0
Memorial Park Ave / Kimbourne Ave ,2.0,2.0,0.0,4.0
Midland Ave / Finch Recreational Trail,3.0,3.0,0.0,6.0
Church St / Cypress St,2.0,2.0,0.0,4.0
Morningside Park (Highland Creek Trail),81.0,81.0,0.0,162.0
Queens Plate Dr / Rexdale Blvd,2.0,2.0,0.0,4.0
Queens Quay E / Lower Jarvis St ,640.0,640.0,0.0,1280.0
Clendenan Ave / Rowland St - SMART,70.0,70.0,0.0,140.0
Roding St / Nash Dr,2.0,2.0,0.0,4.0
Markham Rd / The Meadoway ,10.0,10.0,0.0,20.0
Martin Grove Rd / Finch Ave W,1.0,1.0,0.0,2.0
Birchmount Rd / Eglinton Ave E,1.0,1.0,0.0,2.0
Thistletown Community Centre,2.0,2.0,0.0,4.0
Bernadine St / Brimley Rd,6.0,6.0,0.0,12.0
1926 Lake Shore Blvd W,133.0,133.0,0.0,266.0
Wellesley Station ,6.0,6.0,0.0,12.0
St Clair Ave W / Oakwood Ave,58.0,58.0,0.0,116.0
Soudan Ave / Yonge St ,160.0,160.0,0.0,320.0
Livingston Rd / Guildwood Pkwy,22.0,22.0,0.0,44.0
Spadina Ave / Bulwer St- SMART ,251.0,251.0,0.0,502.0
Spadina Ave / Sussex Ave ,303.0,303.0,0.0,606.0
Balliol St / Yonge St  SMART,58.0,58.0,0.0,116.0
Bartley Park ,9.0,9.0,0.0,18.0
Avenue Rd / Macpherson Ave ,92.0,92.0,0.0,184.0
Birchmount Rd / Kingston Rd,15.0,15.0,0.0,30.0
Birchcliff Ave / Kingston Rd,21.0,21.0,0.0,42.0
The Pond Rd / Shoreham Dr,20.0,20.0,0.0,40.0
Maxome Ave / Finch Hydro Corridor,14.0,14.0,0.0,28.0
Tobermory Dr / Finch Ave W,1.0,1.0,0.0,2.0
Birchmount Rd / The Meadoway,1.0,1.0,0.0,2.0
St. Clair Ave W / Avenue Rd ,94.0,94.0,0.0,188.0
Leslie St / Commissioners St  ,141.0,141.0,0.0,282.0
Avenue Rd / Cumberland St ,412.0,412.0,0.0,824.0
Avenue Rd / Oxton Ave ,20.0,20.0,0.0,40.0
Mallaby Park ,9.0,9.0,0.0,18.0
Maida Vale Park,3.0,3.0,0.0,6.0
Lynn Williams St / Pirandello St ,332.0,332.0,0.0,664.0
Lawrence Ave W / Renfield St,3.0,3.0,0.0,6.0
Lawrence Ave W / Pine St,1.0,1.0,0.0,2.0
Lawrence Ave W / Dufferin St,4.0,4.0,0.0,8.0
Lawrence Ave W / Bathurst St,9.0,9.0,0.0,18.0
Lynn Williams St / Pirandello St,236.0,236.0,0.0,472.0
Lundy Ave / Étienne Brûlé Park,44.0,44.0,0.0,88.0
Torresdale Ave / Finch Ave W,8.0,8.0,0.0,16.0
Torresdale Ave / Antibes Dr,59.0,59.0,0.0,118.0
519 Church St ,94.0,94.0,0.0,188.0
Fort York Blvd / Garrison Rd,1098.0,1098.0,0.0,2196.0
Westmore Dr / Finch Ave W,2.0,2.0,0.0,4.0
Lawrence Ave E / Overture Rd,4.0,4.0,0.0,8.0
E.T Seton Park - South ,48.0,48.0,0.0,96.0
Adelaide St W / Bay St (South),99.0,99.0,0.0,198.0
Bellamy Rd N / The Meadoway,8.0,8.0,0.0,16.0
Dundas St E / Pembroke St ,201.0,201.0,0.0,402.0
Bay St / Harbour St ,330.0,330.0,0.0,660.0
25 York St  Union Station South,207.0,207.0,0.0,414.0
Adelaide St W / York St ,282.0,282.0,0.0,564.0
Eglinton Ave E / Sloane Ave,2.0,2.0,0.0,4.0
Eglinton Ave E / Mason Rd ,5.0,5.0,0.0,10.0
Yonge St / Dundonald St ,447.0,447.0,0.0,894.0
YZD,3.0,3.0,0.0,6.0
Wilson Ave / Transit Rd (TTC Subway Station),11.0,11.0,0.0,22.0
Leslie Lookout Park,12.0,13.0,-1.0,25.0
York Mills Rd / Lesmill Rd,21.0,22.0,-1.0,43.0
385 Pacific Ave,143.0,144.0,-1.0,287.0
Aga Khan Museum and Park (Wynford Dr),1.0,2.0,-1.0,3.0
Woodbine Ave / O'Connor Dr,48.0,49.0,-1.0,97.0
Logan Ave / Eastern Ave - SMART,131.0,132.0,-1.0,263.0
Bartley Park,2.0,3.0,-1.0,5.0
Lawrence Ave E / Don Mills Trail,44.0,45.0,-1.0,89.0
Wells St / Brunswick Ave,164.0,165.0,-1.0,329.0
Berkeley St / Adelaide St E - SMART,771.0,772.0,-1.0,1543.0
Plaxton Dr / St. Clair Ave E,9.0,10.0,-1.0,19.0
Jane St / Yewtree Blvd,13.0,14.0,-1.0,27.0
Jane St / Haney Ave,23.0,24.0,-1.0,47.0
Bloor St W / Old Mill Trl,52.0,53.0,-1.0,105.0
Islington Subway Station (Aberfoyle Cres),57.0,58.0,-1.0,115.0
Jane St / Queens Dr,4.0,5.0,-1.0,9.0
Keele St / Ingram Dr,17.0,18.0,-1.0,35.0
Jane St / Woolner Ave (Woolner Park),8.0,9.0,-1.0,17.0
Talbot Rd / Finch Hydro Corridor,24.0,25.0,-1.0,49.0
Crawford St / Lobb Ave,172.0,173.0,-1.0,345.0
Sunrise Ave / Victoria Park Ave,5.0,6.0,-1.0,11.0
Victoria Park Ave / The Meadoway,0.0,1.0,-1.0,1.0
Victoria Park Ave / Edge Park Ave,17.0,18.0,-1.0,35.0
Colonel Danforth Park,76.0,77.0,-1.0,153.0
Lawrence Ave E / Burnview Cres,3.0,4.0,-1.0,7.0
Russell Hill Rd / St. Clair Ave W,98.0,99.0,-1.0,197.0
Roncesvalles Ave / Marmaduke St,461.0,462.0,-1.0,923.0
Slan Ave / Scarborough Golf Club Rd,3.0,4.0,-1.0,7.0
Millwood Rd / Southvale Dr,57.0,58.0,-1.0,115.0
Thompson St / Carroll St,191.0,192.0,-1.0,383.0
Toronto Public Library - Agincourt,0.0,1.0,-1.0,1.0
Maud St / Adelaide St W - SMART,966.0,967.0,-1.0,1933.0
Lake Shore Blvd E / Knox Ave,139.0,140.0,-1.0,279.0
Lake Shore Blvd W / Seventeenth St,34.0,35.0,-1.0,69.0
Lake Shore Blvd W / Brow Dr,33.0,34.0,-1.0,67.0
Cherry St / Polson St,357.0,358.0,-1.0,715.0
Marine Parade Dr / Humber Bay Shores Park Trl,156.0,157.0,-1.0,313.0
16 Riverview Gardens,1.0,2.0,-1.0,3.0
Essex St / Christie St,269.0,270.0,-1.0,539.0
Princes' Gates,243.0,244.0,-1.0,487.0
Euclid Ave / Queen St W - SMART,360.0,361.0,-1.0,721.0
Agincourt Recreation Centre,3.0,4.0,-1.0,7.0
Grand Avenue Park,157.0,158.0,-1.0,315.0
Grenoble Dr / Deauville Ln,8.0,9.0,-1.0,17.0
Albion Rd/ Arcot Blvd,13.0,14.0,-1.0,27.0
Bert Robinson Park,35.0,36.0,-1.0,71.0
Queen St E / Alton Av,370.0,371.0,-1.0,741.0
Willowdale Ave / Bishop Ave,0.0,1.0,-1.0,1.0
25 St. Mary St,2.0,3.0,-1.0,5.0
Dufferin St / Queen St W,226.0,227.0,-1.0,453.0
George St S / The Esplanade,17.0,18.0,-1.0,35.0
Pape Ave / Hopedale Ave,13.0,14.0,-1.0,27.0
Oakdale Community Centre,3.0,4.0,-1.0,7.0
Don Mills Rd / Fairview Mall Dr,13.0,14.0,-1.0,27.0
Pioneer Village Subway Station,19.0,20.0,-1.0,39.0
Brookdale Ave / Yonge St,28.0,29.0,-1.0,57.0
406 Oakwood Ave,74.0,76.0,-2.0,150.0
Sentinel Rd / Finch Corridor Trail,71.0,73.0,-2.0,144.0
Eglinton West Subway Station,56.0,58.0,-2.0,114.0
Weston Rd / Lanyard Rd,12.0,14.0,-2.0,26.0
St. Andrew's Playground Park,610.0,612.0,-2.0,1222.0
Eglinton Ave E / Brimley Rd,19.0,21.0,-2.0,40.0
Baycrest Ave / Bathurst St,4.0,6.0,-2.0,10.0
Yonge St / Lake Shore Blvd E,6.0,8.0,-2.0,14.0
Bond Ave / Don Mills Trail,17.0,19.0,-2.0,36.0
Long Branch GO Station,20.0,22.0,-2.0,42.0
Dunn Ave / Queen St W,61.0,63.0,-2.0,124.0
Simcoe St / Elm St,325.0,327.0,-2.0,652.0
Princess St / Adelaide St E,632.0,634.0,-2.0,1266.0
Gateway Blvd (South) / Don Mills Rd,3.0,5.0,-2.0,8.0
Gamble Ave / Broadview Ave,269.0,271.0,-2.0,540.0
Gothic Ave / Quebec Ave,130.0,132.0,-2.0,262.0
Portland St / Front St W,16.0,18.0,-2.0,34.0
Dundas St W / Prince Edward Dr N,35.0,37.0,-2.0,72.0
Dawes Rd / Taylor Creek Trl,91.0,93.0,-2.0,184.0
Gilder Dr / Midland Ave,7.0,9.0,-2.0,16.0
111 Broadview Ave,349.0,351.0,-2.0,700.0
Queen St. E / Eastern Ave,239.0,241.0,-2.0,480.0
Chatham Ave / Byron Ave,77.0,79.0,-2.0,156.0
Midland Ave / Kingston Rd,17.0,19.0,-2.0,36.0
Kingston Rd / Ridgemoor Ave,27.0,29.0,-2.0,56.0
Clarence Square,1212.0,1214.0,-2.0,2426.0
Union Station (North),264.0,266.0,-2.0,530.0
Roxborough St W / Yonge St,230.0,232.0,-2.0,462.0
Front St E / Cherry St,902.0,904.0,-2.0,1806.0
Jane St / Yorkwoods Gt,1.0,3.0,-2.0,4.0
Annette St / Dundas W,56.0,58.0,-2.0,114.0
Wakunda Pl / O'Connor Dr,13.0,15.0,-2.0,28.0
Ursula Franklin St / Huron St - SMART,406.0,408.0,-2.0,814.0
Warehouse EBS-Station,0.0,2.0,-2.0,2.0
Pharmacy Ave / Danforth Ave,19.0,21.0,-2.0,40.0
Sentinel Rd / Finch Ave W,20.0,22.0,-2.0,42.0
Bellamy Rd S / Kingston Rd,11.0,14.0,-3.0,25.0
Sunnybrook Health Centre - S Wing,106.0,109.0,-3.0,215.0
Downsview Park Subway Station - SMART,44.0,47.0,-3.0,91.0
Lawrence Ave W / Marlee Ave,34.0,37.0,-3.0,71.0
36 Park Lawn Rd,131.0,134.0,-3.0,265.0
Blake St / Boultbee Ave,271.0,274.0,-3.0,545.0
50 Overlea Blvd,45.0,48.0,-3.0,93.0
Winona Dr / Davenport Rd,304.0,307.0,-3.0,611.0
Fort York  Blvd / Capreol Ct,2137.0,2140.0,-3.0,4277.0
Weston Rd / St. Clair Ave W,63.0,66.0,-3.0,129.0
Memorial Park Ave / Kimbourne Ave,1.0,4.0,-3.0,5.0
Victoria Park Subway Station - SMART,84.0,87.0,-3.0,171.0
King St W / Cowan Ave - SMART,247.0,250.0,-3.0,497.0
Rouge Hill GO Station,75.0,78.0,-3.0,153.0
Rogers Rd / Bicknell Ave,26.0,29.0,-3.0,55.0
Tobermory Dr / Finch Corridor Trail,8.0,11.0,-3.0,19.0
Berry Rd / Bell Manor Dr,99.0,102.0,-3.0,201.0
Centennial College (Ashtonbee Campus),13.0,16.0,-3.0,29.0
Kempford Blvd / Yonge St,42.0,45.0,-3.0,87.0
Cherry St / Commissioners St,1.0,4.0,-3.0,5.0
Front St W / Spadina Ave,586.0,589.0,-3.0,1175.0
Silverthorn Ave / Pryor Ave,1.0,4.0,-3.0,5.0
Simcoe St / Pullan Pl,268.0,271.0,-3.0,539.0
Yonge St / Lawrence Ave E,75.0,78.0,-3.0,153.0
Warden Subway Station,20.0,23.0,-3.0,43.0
Pottery Rd / Lower Don River Trail,321.0,324.0,-3.0,645.0
Dufferin St / King St W,7.0,10.0,-3.0,17.0
