,pickups,returns,imbalance,total_activity
Walter Saunders Park,42.0,45.0,-3.0,87.0
Symes Rd / Glen Scarlett Rd - SMART,9.0,12.0,-3.0,21.0
Boston Ave / Queen St E- SMART,125.0,128.0,-3.0,253.0
Mount Pleasant Rd / Davisville Ave - SMART,95.0,98.0,-3.0,193.0
2300 Lakeshore Blvd W,39.0,43.0,-4.0,82.0
Second St / Lake Shore Blvd W,76.0,80.0,-4.0,156.0
Simcoe St / Wellington St North,270.0,274.0,-4.0,544.0
Eglinton Ave E / Mason Rd,0.0,4.0,-4.0,4.0
Priscilla  Ave / Dundas St W,24.0,28.0,-4.0,52.0
Scarlett Rd / Eileen Ave,13.0,17.0,-4.0,30.0
Goodwood Park Ct / Dentonia Park,20.0,24.0,-4.0,44.0
York Recreation Centre,20.0,24.0,-4.0,44.0
Wellington St E / Church St,0.0,4.0,-4.0,4.0
Weston Rd / Sheppard Ave W,12.0,16.0,-4.0,28.0
Castle Frank Subway Station,157.0,161.0,-4.0,318.0
St. Clair Ave W / Castleton Ave,87.0,91.0,-4.0,178.0
Commissioners St / Bouchette St,35.0,39.0,-4.0,74.0
Marlee Ave / York Beltline Trail,51.0,55.0,-4.0,106.0
Annette St / Dundas St W,165.0,169.0,-4.0,334.0
Carlaw Ave / Strathcona Ave,330.0,334.0,-4.0,664.0
Surrey Pl / Dr. Emily Stowe Way - SMART,39.0,43.0,-4.0,82.0
Front St E / Scott St (2),93.0,97.0,-4.0,190.0
Mallaby Park,7.0,12.0,-5.0,19.0
Marie Curtis Park,173.0,178.0,-5.0,351.0
Bay St / King St W,107.0,112.0,-5.0,219.0
75 Thorncliffe Park Dr,23.0,28.0,-5.0,51.0
25 York St _ Union Station South,130.0,135.0,-5.0,265.0
The Kingsway / Ashley Rd,14.0,19.0,-5.0,33.0
Queens Quay W / Dan Leckie Way,1186.0,1191.0,-5.0,2377.0
King's Mill Park,93.0,98.0,-5.0,191.0
85 Lee Ave,180.0,185.0,-5.0,365.0
Bloor St W / Riverside Dr,34.0,39.0,-5.0,73.0
Coxwell Ave / Plains Rd,81.0,86.0,-5.0,167.0
Ferrand Dr / Rochefort Dr,48.0,53.0,-5.0,101.0
Viewmount Park,22.0,27.0,-5.0,49.0
Regal Rd / Dufferin St,97.0,102.0,-5.0,199.0
Hanna Ave / Snooker St,308.0,313.0,-5.0,621.0
Danforth Ave / Coxwell Ave,383.0,388.0,-5.0,771.0
Heyworth Cres / Kingston Rd,53.0,58.0,-5.0,111.0
Starspray Blvd / Lawrence Ave E,35.0,40.0,-5.0,75.0
Sumach St / Carlton St (Riverdale Farm),379.0,384.0,-5.0,763.0
High Park Ave / Dundas St W,295.0,300.0,-5.0,595.0
Dufferin Gate - SMART,330.0,335.0,-5.0,665.0
Eglinton Ave E / Brentcliffe Rd,78.0,83.0,-5.0,161.0
Alton Ave / Dundas St E (Greenwood Park),315.0,320.0,-5.0,635.0
St. John's Rd / Dundas St W,61.0,66.0,-5.0,127.0
E.T. Seton Park (Eglinton Ave E / Leslie St),146.0,152.0,-6.0,298.0
Yonge St / Harbour St,292.0,298.0,-6.0,590.0
Queen St W / Close Ave,211.0,217.0,-6.0,428.0
Lake Shore Blvd W / Long Branch Ave,32.0,38.0,-6.0,70.0
Lisgar St / Dundas St SMART,314.0,320.0,-6.0,634.0
Lumsden Ave / Cedarvale Ave,111.0,117.0,-6.0,228.0
Roehampton St / Bayview Ave,44.0,50.0,-6.0,94.0
Cumberland Ave / Bay St SMART,364.0,370.0,-6.0,734.0
Roehampton Ave / Bayview Ave,52.0,58.0,-6.0,110.0
Claremont St / Dundas St W,1011.0,1017.0,-6.0,2028.0
Niagara St / Queen St W,14.0,20.0,-6.0,34.0
Overlea Blvd / Thorncliffe Park Dr,23.0,29.0,-6.0,52.0
Adelaide St W / Brant St,516.0,522.0,-6.0,1038.0
G Ross Lord Park,76.0,82.0,-6.0,158.0
165 McRae Dr,24.0,30.0,-6.0,54.0
Scarlett Rd / Old Scarlett Rd,6.0,12.0,-6.0,18.0
Driftwood Ave / Finch Corridor Trail,6.0,12.0,-6.0,18.0
Glencairn Subway Station,26.0,32.0,-6.0,58.0
Shuter St/River St,579.0,585.0,-6.0,1164.0
Homewood Ave / Wellesley St E - SMART,161.0,167.0,-6.0,328.0
St Clarens Ave / Shirley St,111.0,117.0,-6.0,228.0
Rosedale Park (20 Scholfield Ave),74.0,80.0,-6.0,154.0
Adelaide St E / Parliament St,333.0,340.0,-7.0,673.0
Kewbeach Ave / Kenilworth Ave,189.0,196.0,-7.0,385.0
Dundas St W / St. Patrick St,1541.0,1548.0,-7.0,3089.0
Euclid Ave / Bloor St W,877.0,884.0,-7.0,1761.0
Eglinton Ave E / Redpath Ave,345.0,352.0,-7.0,697.0
24 Mountjoy Ave,64.0,71.0,-7.0,135.0
Armoury St / Chestnut St,679.0,686.0,-7.0,1365.0
Cosburn Ave / Cedarvale Ave,81.0,88.0,-7.0,169.0
Uno Dr / The Queensway,66.0,73.0,-7.0,139.0
Opposite 1103 Leslie St,24.0,31.0,-7.0,55.0
Saulter St / Queen St E - SMART,121.0,128.0,-7.0,249.0
Simcoe St / Wellington St W (North),292.0,299.0,-7.0,591.0
Southwood Dr / Kingston Rd - SMART,152.0,159.0,-7.0,311.0
Esther Shiner Stadium,83.0,90.0,-7.0,173.0
Florence Gell Park,56.0,63.0,-7.0,119.0
Lake Shore Blvd W / Louisa St,62.0,70.0,-8.0,132.0
The Esplanade / Hahn Pl,624.0,632.0,-8.0,1256.0
College St / Henry St,267.0,275.0,-8.0,542.0
D'Arcy St / McCaul St - SMART,494.0,502.0,-8.0,996.0
Queen St W / Roncesvalles Ave,84.0,92.0,-8.0,176.0
Victoria Park Ave / Danforth Ave,139.0,147.0,-8.0,286.0
Bathurst St / Housey St,546.0,554.0,-8.0,1100.0
Sixth St / Lake Shore Blvd W,35.0,43.0,-8.0,78.0
HTO Park West,462.0,470.0,-8.0,932.0
Felstead Ave/Gillard Ave (Monarch Park),199.0,207.0,-8.0,406.0
Erskine Ave / Redpath Ave,25.0,33.0,-8.0,58.0
Havelock St / Dewson St,174.0,182.0,-8.0,356.0
Humber College,100.0,108.0,-8.0,208.0
Judson St / Royal York,48.0,56.0,-8.0,104.0
Danforth Ave / Gough Ave,622.0,630.0,-8.0,1252.0
Queens Quay E / Merchants' Wharf,390.0,398.0,-8.0,788.0
Oak St / Parliament St,18.0,26.0,-8.0,44.0
Ossington Ave / Bloor St W,398.0,407.0,-9.0,805.0
Kendal Ave / Bernard Ave,580.0,589.0,-9.0,1169.0
Jack Layton Ferry Terminal,251.0,260.0,-9.0,511.0
Lake Shore Blvd W / Ontario Dr,1599.0,1608.0,-9.0,3207.0
King St W / Fraser Ave,277.0,286.0,-9.0,563.0
Dundas St W / St Helen's Ave - SMART,160.0,169.0,-9.0,329.0
Lake Shore Blvd W / Twenty Fourth St,106.0,115.0,-9.0,221.0
Metro Hall Plaza,865.0,874.0,-9.0,1739.0
Pharmacy Ave / Teesdale Pl,27.0,36.0,-9.0,63.0
Fort York Blvd / Grand Magazine St,500.0,510.0,-10.0,1010.0
D'Arcy St / Spadina Ave - SMART,700.0,710.0,-10.0,1410.0
Davenport Rd / Oakwood Rd - SMART,86.0,96.0,-10.0,182.0
Bloor St W / Gladstone Ave - SMART,333.0,343.0,-10.0,676.0
Mary McCormick Rec Centre (Sheridan Ave),337.0,347.0,-10.0,684.0
Hubbard Blvd / Glen Manor Dr,108.0,118.0,-10.0,226.0
Concord Av / Dewson St,168.0,178.0,-10.0,346.0
Princes Gate / Nunavut Dr,104.0,114.0,-10.0,218.0
York University Station (South) - SMART,61.0,71.0,-10.0,132.0
Queen St E / Pape Ave - SMART,406.0,417.0,-11.0,823.0
Orchard Park,144.0,155.0,-11.0,299.0
Eastwood Rd / Woodbine Ave - SMART,153.0,164.0,-11.0,317.0
Dundas St W / Edna Ave,461.0,472.0,-11.0,933.0
Mutual St / Shuter St,1033.0,1044.0,-11.0,2077.0
Kendal Ave / Spadina Rd,369.0,380.0,-11.0,749.0
OCAD University,422.0,433.0,-11.0,855.0
Blantyre Park,66.0,77.0,-11.0,143.0
Glendonwynne Rd / Bloor St W,253.0,264.0,-11.0,517.0
Chester Station,188.0,200.0,-12.0,388.0
Bay St / Harbour St,210.0,222.0,-12.0,432.0
Cherry Beach Sports Fields (55 Unwin Ave),206.0,218.0,-12.0,424.0
Ripley Ave / Ormskirk Ave,99.0,111.0,-12.0,210.0
High Park Subway,70.0,82.0,-12.0,152.0
University of Toronto Scarborough,27.0,39.0,-12.0,66.0
Wellington St W / Portland St,250.0,262.0,-12.0,512.0
Bridgman Ave / Bathurst St,160.0,172.0,-12.0,332.0
Greenwood Ave / Gerrard St E,212.0,224.0,-12.0,436.0
Soudan Ave / Yonge St,59.0,71.0,-12.0,130.0
Finch West Subway Station,74.0,87.0,-13.0,161.0
Danforth Ave / Aldridge Ave,159.0,172.0,-13.0,331.0
Richmond St W / York St,1070.0,1083.0,-13.0,2153.0
Princess St / Front St E,679.0,692.0,-13.0,1371.0
Avenue Rd / Macpherson Ave,33.0,46.0,-13.0,79.0
Tecumseth St / Queen St W - SMART,875.0,888.0,-13.0,1763.0
Sunnybrook Park,107.0,121.0,-14.0,228.0
Bridgeman Ave / Bathurst St,86.0,100.0,-14.0,186.0
Yonge St / Yorkville Ave,1353.0,1367.0,-14.0,2720.0
Ward St / Wallace Ave,321.0,335.0,-14.0,656.0
457 King St. W. at Spadina,334.0,348.0,-14.0,682.0
Widmer St / Adelaide St W - SMART,1511.0,1525.0,-14.0,3036.0
Beltline Trail / Chaplin Cres.,80.0,94.0,-14.0,174.0
Antler St / Campbell Ave - SMART,136.0,150.0,-14.0,286.0
111 Bond St (North of Dundas St E)  - SMART,356.0,371.0,-15.0,727.0
Queen St E / Joseph Duggan Rd,150.0,165.0,-15.0,315.0
Mortimer Ave / Coxwell Ave,243.0,258.0,-15.0,501.0
Trinity St /Front St E,605.0,620.0,-15.0,1225.0
Christie St / Dupont St,281.0,297.0,-16.0,578.0
Elizabeth St / Elm St,743.0,759.0,-16.0,1502.0
Concord Ave / Dewson St,330.0,346.0,-16.0,676.0
Rosedale Park (20 Schofield Ave),56.0,72.0,-16.0,128.0
Duncan St / Adelaide St W - SMART,513.0,529.0,-16.0,1042.0
High Park - Grenadier Cafe,337.0,353.0,-16.0,690.0
Emdaabiimok Ave / Lake Shore Blvd E,146.0,162.0,-16.0,308.0
Bridgeman Ave / Kendal Ave,104.0,120.0,-16.0,224.0
Wolseley St / Augusta Ave,527.0,544.0,-17.0,1071.0
East Lynn Ave / Danforth Ave,237.0,254.0,-17.0,491.0
Queen St. E / Spruce Hill Rd.,116.0,133.0,-17.0,249.0
High Park Blvd / Parkside Dr,277.0,294.0,-17.0,571.0
Cumberland St / Bay St -  SMART,506.0,523.0,-17.0,1029.0
Bathurst St / Front St W,1320.0,1337.0,-17.0,2657.0
Queen's Park Cres W / Hoskin Ave,1122.0,1139.0,-17.0,2261.0
Shaw St / King St W,690.0,707.0,-17.0,1397.0
457 King St W,417.0,435.0,-18.0,852.0
Simcoe St / Michael Sweet Ave,506.0,524.0,-18.0,1030.0
University Ave / Armoury St,204.0,222.0,-18.0,426.0
Logan Av / Gerrard St E,224.0,242.0,-18.0,466.0
Avenue Rd / Cumberland St,235.0,253.0,-18.0,488.0
King St E / Berkeley St,611.0,629.0,-18.0,1240.0
Danforth Ave / Ellerbeck St,496.0,514.0,-18.0,1010.0
Spadina Ave / Sullivan St,714.0,732.0,-18.0,1446.0
Queen St E / Nursewood Rd,82.0,101.0,-19.0,183.0
Bremner Blvd / Rees St,1663.0,1682.0,-19.0,3345.0
Tyndall Ave / King St W - SMART,528.0,547.0,-19.0,1075.0
Roxton Rd / Harbord St,369.0,388.0,-19.0,757.0
Sorauren Ave / Geoffrey St - SMART,174.0,193.0,-19.0,367.0
Fleet St / Bathurst St,1012.0,1031.0,-19.0,2043.0
12 Harbour St,914.0,933.0,-19.0,1847.0
Nassau St / Bellevue Ave,1172.0,1192.0,-20.0,2364.0
Cherry St / Lake Shore Blvd E,460.0,480.0,-20.0,940.0
Palmerston Blvd / Lennox St,319.0,339.0,-20.0,658.0
Riverdale Park North (Broadview Ave),658.0,678.0,-20.0,1336.0
Bellwoods Ave / Treford Pl - SMART,424.0,444.0,-20.0,868.0
Foster Pl / Elizabeth St,364.0,384.0,-20.0,748.0
East Liberty St / Pirandello St,38.0,58.0,-20.0,96.0
Eastwood Rd / Coxwell Ave,404.0,424.0,-20.0,828.0
Widmer St / Adelaide St W,604.0,624.0,-20.0,1228.0
Chiltern Hill Rd / Eglinton Ave W,76.0,96.0,-20.0,172.0
Barton Ave / Howland Ave - SMART,280.0,300.0,-20.0,580.0
The Queensway at South Kingsway,105.0,125.0,-20.0,230.0
Leslie St / Commissioners St,111.0,132.0,-21.0,243.0
Front St E / Bayview Avenue,859.0,880.0,-21.0,1739.0
University Ave / Pearl St,97.0,118.0,-21.0,215.0
Amos Waites Park,210.0,231.0,-21.0,441.0
Kilgour Rd / Rumsey Rd,67.0,88.0,-21.0,155.0
Bloor St W / Indian Rd,112.0,134.0,-22.0,246.0
Adelaide St W / Portland St,352.0,374.0,-22.0,726.0
College St / Huron St,2271.0,2293.0,-22.0,4564.0
Danforth Ave / Barrington Ave,234.0,256.0,-22.0,490.0
Queen St E / Nursewood Rd (Neville Park Loop),48.0,70.0,-22.0,118.0
Sackville St / Eastern Ave - SMART,470.0,492.0,-22.0,962.0
Hubbard Blvd / Balsam Av,211.0,234.0,-23.0,445.0
Sterling Rd / Dundas St W,193.0,216.0,-23.0,409.0
Gerrard St E / Broadview Ave  - SMART,484.0,507.0,-23.0,991.0
Ontario St / King St E,112.0,136.0,-24.0,248.0
Toronto Eaton Centre (Yonge St) - SMART,892.0,916.0,-24.0,1808.0
Dufferin St / Sylvan Av (Dufferin Grove Park),723.0,747.0,-24.0,1470.0
25 York St â Union Station South,236.0,260.0,-24.0,496.0
Bay St / Queens Quay W (Ferry Terminal),2740.0,2764.0,-24.0,5504.0
Polson Pier,770.0,795.0,-25.0,1565.0
Huron St / Harbord St,471.0,496.0,-25.0,967.0
Colgate Ave / Carlaw Ave,269.0,294.0,-25.0,563.0
King St W / York St,707.0,732.0,-25.0,1439.0
420 Wellington St W,993.0,1018.0,-25.0,2011.0
135 Queens Wharf Rd - SMART,176.0,201.0,-25.0,377.0
Front St W / Simcoe St,449.0,475.0,-26.0,924.0
Queen St W / York St (City Hall),406.0,432.0,-26.0,838.0
York St / Wellington St W (1),139.0,165.0,-26.0,304.0
Gould St / Yonge St (TMU),711.0,737.0,-26.0,1448.0
King St W / York St (2),310.0,338.0,-28.0,648.0
Bloor St E / Huntley St - SMART,1190.0,1218.0,-28.0,2408.0
Ontario St / Adelaide St E -SMART,1140.0,1169.0,-29.0,2309.0
Ross St / Cecil St - SMART,493.0,522.0,-29.0,1015.0
Lower Spadina Ave / Lake Shore Blvd W,542.0,571.0,-29.0,1113.0
Morse St / Eastern Ave,254.0,283.0,-29.0,537.0
Mill St / Cherry St,318.0,347.0,-29.0,665.0
King St W / Jameson Ave - SMART,275.0,304.0,-29.0,579.0
Sherbourne St N / Elm Ave,366.0,395.0,-29.0,761.0
University Ave / Gerrard St W (WEST) - SMART,332.0,362.0,-30.0,694.0
Cherry Beach Sports Field (55 Unwin Ave),166.0,196.0,-30.0,362.0
Sunnyside Ave / The Queensway - SMART,409.0,439.0,-30.0,848.0
Bloor St W / Dundas St W,657.0,687.0,-30.0,1344.0
Queen St W / Cowan Ave,531.0,561.0,-30.0,1092.0
King St W / Portland St - SMART,1532.0,1563.0,-31.0,3095.0
Queens Quay W / Lower Simcoe St,1997.0,2028.0,-31.0,4025.0
Jarvis St / Maitland Pl,864.0,896.0,-32.0,1760.0
Elm St/ University Ave (East Side),901.0,933.0,-32.0,1834.0
Eglinton Ave W / Scarlett Rd,80.0,113.0,-33.0,193.0
Annette St / Jane St,139.0,172.0,-33.0,311.0
Eastern Ave / Winnifred Ave,118.0,151.0,-33.0,269.0
Toronto Eaton Centre (Yonge St),580.0,614.0,-34.0,1194.0
York St / Harbour St (Love Park),477.0,511.0,-34.0,988.0
Lee Ave / Queen St E,46.0,80.0,-34.0,126.0
Richmond St E / Yonge St,2302.0,2337.0,-35.0,4639.0
Adelaide St W / Bay St,431.0,467.0,-36.0,898.0
King St W / Jordan St,752.0,788.0,-36.0,1540.0
Gerrard St E / Leslie St,305.0,341.0,-36.0,646.0
Widmer St / King St W,850.0,887.0,-37.0,1737.0
Yarmouth Rd / Christie St,281.0,318.0,-37.0,599.0
Humber Bay Shores Park / Marine Parade Dr,1302.0,1340.0,-38.0,2642.0
Mallon Ave / Jones Ave -SMART,346.0,384.0,-38.0,730.0
King St W / Douro St,950.0,989.0,-39.0,1939.0
Little Norway Park,1162.0,1201.0,-39.0,2363.0
Queen St E / Sackville St,335.0,374.0,-39.0,709.0
Palmerston Ave / Vermont Ave,421.0,461.0,-40.0,882.0
Front St E / Scott St,1026.0,1066.0,-40.0,2092.0
Lake Shore Blvd W / Colborne Lodge Dr,915.0,955.0,-40.0,1870.0
Augusta Ave / Denison Sq,1179.0,1219.0,-40.0,2398.0
University Ave / Richmond St W,783.0,824.0,-41.0,1607.0
Garden Ave / Roncesvalles Ave,461.0,502.0,-41.0,963.0
Carlaw Ave / Dundas St E,868.0,909.0,-41.0,1777.0
Ossington Ave / College St,544.0,585.0,-41.0,1129.0
Jarvis St / Richmond St E,1236.0,1278.0,-42.0,2514.0
Bay St / College St (West Side) - SMART,1230.0,1272.0,-42.0,2502.0
St. George St / Russell St - SMART,692.0,734.0,-42.0,1426.0
Lake Shore Blvd W / Ellis Ave,891.0,933.0,-42.0,1824.0
Salem Ave / Bloor St W,588.0,630.0,-42.0,1218.0
Niagara St / King St W - SMART,468.0,511.0,-43.0,979.0
Lake Shore Blvd W / The Boulevard Club,868.0,911.0,-43.0,1779.0
Ellis Ave / The Queensway,189.0,232.0,-43.0,421.0
1 Market St - SMART,202.0,246.0,-44.0,448.0
Beverley  St / Dundas St W,856.0,900.0,-44.0,1756.0
Simcoe St / King St W,779.0,823.0,-44.0,1602.0
Dundas St E / Pembroke St - SMART,210.0,254.0,-44.0,464.0
Fennings St / Queen St W,80.0,124.0,-44.0,204.0
Mill St / Tannery Rd,525.0,569.0,-44.0,1094.0
Gerrard Square Mall (1010 Gerrard St E),758.0,803.0,-45.0,1561.0
Frederick St / King St E,1923.0,1968.0,-45.0,3891.0
80 Clinton St,651.0,696.0,-45.0,1347.0
York St / Lake Shore Blvd W,803.0,848.0,-45.0,1651.0
51 Parliament St,370.0,415.0,-45.0,785.0
Hubbard Blvd. / Glen Manor Dr.,92.0,138.0,-46.0,230.0
College Park - Gerrard Entrance,1008.0,1054.0,-46.0,2062.0
Sherbourne St / Carlton St (Allan Gardens),1421.0,1467.0,-46.0,2888.0
Temperance St. Station,210.0,256.0,-46.0,466.0
Ontario Place Blvd / Lake Shore Blvd W (East),988.0,1034.0,-46.0,2022.0
York St / Wellington St W (2),212.0,258.0,-46.0,470.0
Lisgar Park,1565.0,1612.0,-47.0,3177.0
Dundas St E / Broadview Ave,686.0,733.0,-47.0,1419.0
Simcoe St / Dundas St W - SMART,458.0,506.0,-48.0,964.0
Parkside Dr / Bloor St W - SMART,341.0,389.0,-48.0,730.0
College Park South,1423.0,1471.0,-48.0,2894.0
Logan Ave / Bain Ave,283.0,332.0,-49.0,615.0
Stewart St / Bathurst St  - SMART,210.0,260.0,-50.0,470.0
Adelaide St W / Strachan Ave,890.0,940.0,-50.0,1830.0
Queen St W / Dovercourt Rd,923.0,973.0,-50.0,1896.0
King St W / Spadina Ave,652.0,703.0,-51.0,1355.0
Gerrard St E / Broadview - SMART,230.0,282.0,-52.0,512.0
Spadina Ave / Bulwer St- SMART,150.0,203.0,-53.0,353.0
Riverdale Park South (Broadview Ave),553.0,607.0,-54.0,1160.0
Humber Bay Shores Park West,1075.0,1130.0,-55.0,2205.0
King St E / Victoria St,1487.0,1542.0,-55.0,3029.0
King St E / Ontario St.,238.0,294.0,-56.0,532.0
Queens Quay E / Lower Jarvis St,326.0,383.0,-57.0,709.0
Lower Jarvis / Queens Quay E,918.0,976.0,-58.0,1894.0
Lower Simcoe St / Bremner Blvd,1741.0,1799.0,-58.0,3540.0
25 Booth Ave,374.0,432.0,-58.0,806.0
Fleet St / Garrison Rd (Fort York),252.0,310.0,-58.0,562.0
Lake Shore Blvd E / Leslie St,719.0,778.0,-59.0,1497.0
Simcoe St / Adelaide St W,611.0,670.0,-59.0,1281.0
Martin Goodman Trail / Ontario Dr,486.0,546.0,-60.0,1032.0
Woodbine Ave / Lake Shore Blvd E,277.0,337.0,-60.0,614.0
Queen St E / Woodward Ave,286.0,347.0,-61.0,633.0
Queen St W / Ossington Ave,1178.0,1239.0,-61.0,2417.0
Liberty St / Fraser Ave Green P,607.0,671.0,-64.0,1278.0
King St W / Stafford St,780.0,845.0,-65.0,1625.0
Housey St / Dan Leckie Way,1314.0,1379.0,-65.0,2693.0
Bathurst St / Fort York Blvd,1100.0,1165.0,-65.0,2265.0
Alma Ave / Gladstone Ave SMART,531.0,596.0,-65.0,1127.0
Western Battery Rd / Pirandello St,679.0,745.0,-66.0,1424.0
Marilyn Bell Park Tennis Court,1654.0,1720.0,-66.0,3374.0
Beverley St / Dundas St W,1062.0,1129.0,-67.0,2191.0
Sunnyside - Gus Ryder Pool,896.0,963.0,-67.0,1859.0
Bathurst St / Adelaide St W,1856.0,1924.0,-68.0,3780.0
Kew Beach Ave / Kenilworth Ave,124.0,194.0,-70.0,318.0
Queen St W / Gladstone Ave,374.0,444.0,-70.0,818.0
Wright / Sorauren (Sorauren Park) - SMART,76.0,146.0,-70.0,222.0
Cherry St / Distillery Ln,846.0,918.0,-72.0,1764.0
Bay St / Dundas St W,1020.0,1093.0,-73.0,2113.0
Highfield Rd / Gerrard St E,357.0,430.0,-73.0,787.0
Fort York Blvd / Bathurst St SMART,432.0,506.0,-74.0,938.0
Front St / Simcoe St,310.0,384.0,-74.0,694.0
King St W / Charlotte St (West Side),842.0,918.0,-76.0,1760.0
Harbord St / Clinton St,585.0,663.0,-78.0,1248.0
Carlton St / Parliament St,1349.0,1428.0,-79.0,2777.0
Crawford St / Queen St W,821.0,900.0,-79.0,1721.0
King St W / Crawford St,718.0,801.0,-83.0,1519.0
Lower Sherbourne St / The Esplanade,1026.0,1111.0,-85.0,2137.0
College St / Markham St,2230.0,2316.0,-86.0,4546.0
Dundas St E / Parliament St,1261.0,1349.0,-88.0,2610.0
Thompson St / Broadview Ave - SMART,707.0,797.0,-90.0,1504.0
Lower Spadina Ave / Lake Shore Blvd,490.0,586.0,-96.0,1076.0
King St E / River St,1302.0,1398.0,-96.0,2700.0
Cherry St / Mill St,296.0,392.0,-96.0,688.0
285 Victoria St,764.0,861.0,-97.0,1625.0
Church St / Lombard St,1190.0,1287.0,-97.0,2477.0
Lake Shore Blvd W / Windermere Ave,488.0,586.0,-98.0,1074.0
Victoria St / Queen St E,690.0,790.0,-100.0,1480.0
John St  / Mercer St - SMART,2047.0,2150.0,-103.0,4197.0
Front St W / University Ave (1),771.0,875.0,-104.0,1646.0
Hanna Ave / Liberty St,857.0,963.0,-106.0,1820.0
Wellington St W / York St,272.0,380.0,-108.0,652.0
Scott St / The Esplanade,1009.0,1118.0,-109.0,2127.0
King St W / Bay St (East Side),861.0,971.0,-110.0,1832.0
Walton St / Elizabeth St - SMART,748.0,860.0,-112.0,1608.0
Simcoe St / Queen St W,2020.0,2134.0,-114.0,4154.0
Spadina Ave / Fort York Blvd,1246.0,1362.0,-116.0,2608.0
Queen St W / John St,2482.0,2607.0,-125.0,5089.0
Temperance St Station,1168.0,1294.0,-126.0,2462.0
Northern Dancer Blvd / Lake Shore Blvd E,862.0,990.0,-128.0,1852.0
Bay St / Albert St,1450.0,1583.0,-133.0,3033.0
Dundas St E / Victoria St,330.0,466.0,-136.0,796.0
Front St W / University Ave (2),1326.0,1462.0,-136.0,2788.0
Elizabeth St / Edward St (Bus Terminal),1251.0,1389.0,-138.0,2640.0
Cherry Beach,1135.0,1283.0,-148.0,2418.0
Bathurst St/Queens Quay(Billy Bishop Airport),2069.0,2218.0,-149.0,4287.0
Front St W / Yonge St (Hockey Hall of Fame),1000.0,1156.0,-156.0,2156.0
Adelaide St W / Bay St - SMART,490.0,656.0,-166.0,1146.0
Nelson St / Duncan St,2011.0,2187.0,-176.0,4198.0
Phoebe St / Spadina Ave,1126.0,1310.0,-184.0,2436.0
Dundas St E / Regent Park Blvd,2210.0,2400.0,-190.0,4610.0
Bond St / Queen St E,1482.0,1674.0,-192.0,3156.0
Queens Quay / Yonge St,2237.0,2430.0,-193.0,4667.0
King St E / Jarvis St,1209.0,1408.0,-199.0,2617.0
Dundas St W / Yonge St,2361.0,2564.0,-203.0,4925.0
Niagara St / Richmond St W,1283.0,1491.0,-208.0,2774.0
Wellington St W / Bay St,1223.0,1483.0,-260.0,2706.0
University Ave / Gerrard St W (East Side),1816.0,2079.0,-263.0,3895.0
Soho St / Queen St W,2171.0,2450.0,-279.0,4621.0
York St / Queens Quay W,3804.0,4125.0,-321.0,7929.0
HTO Park (Queens Quay W),1955.0,2286.0,-331.0,4241.0
Union Station,2597.0,2963.0,-366.0,5560.0
King St W / Bay St (West Side),1737.0,2784.0,-1047.0,4521.0
